,Team,ID,Batting_Games,At_Bats,Batting_Runs,Batting_Hits,Doubles,Triples,Batting_Home_Runs,Runs_Batted_In,Batting_Bases_On_Balls,Batting_Strike_Outs,Stolen_Bases,Caught_Stealing,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging,Pitching_Games,Pitching_Games_Started,Wins,Losses,Saves,Blown_Saves,Holds,Complete_Games,Shutouts,Innings_Pitched,Pitching_Hits,Pitching_Runs,Earned_Runs,Pitching_Home_Runs,Pitching_Bases_On_Balls,Pitching_Strikeouts,Earned_Runs_Average,Walks_Plus_Hits_Per_Inning_Pitched,Batting_Average_Against,Fielding_Games,Position,Fielding_Games_Started,Innings,Putouts,Total_Chance,Assists,Errors,Double_Plays,Fielding
957,sfo,9064.0,181,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,200,0,12,7,0,4,25,0,0,210.2,179,77,70,21,56,168,2.99,1.12,.230,200,P,0,210,13,35,21,1,1,.971
958,sfo,9288.0,151,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,189,0,12,2,6,5,32,0,0,184.0,157,74,71,17,53,148,3.47,1.14,.232,189,P,0,184,9,53,41,3,4,.943
959,sfo,9809.0,52,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,64,0,4,3,1,2,21,0,0,58.1,39,14,14,4,10,59,2.16,0.84,.191,64,P,0,58,3,10,7,0,0,1.000
960,sfo,10021.0,34,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,35,0,2,0,0,2,11,0,0,28.2,24,12,7,4,8,27,2.20,1.12,.218,35,P,0,28,1,4,2,1,0,.750
961,sfo,7079.0,325,11,1,1,0,0,0,1,0,5,0,0,.091,.091,.091,.182,771,0,29,14,13,13,158,0,0,506.2,460,214,194,23,220,343,3.45,1.34,.244,772,P,0,507,59,196,127,10,9,.949
962,col,8075.0,10,9,0,2,0,0,0,0,0,2,0,0,.222,.222,.222,.444,156,68,26,29,1,1,10,0,0,494.1,552,270,244,48,199,245,4.44,1.52,.286,156,P,68,494,28,111,80,3,6,.973
963,col,9730.0,26,46,5,10,2,0,0,0,2,14,0,0,.217,.250,.261,.511,25,24,8,12,0,0,0,1,1,139.2,141,63,63,11,63,106,4.06,1.46,.268,25,P,24,139,11,32,19,2,2,.938
964,col,7063.0,1487,5496,756,1550,335,22,241,960,561,936,5,10,.282,.349,.483,.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324,1B,1296,11483,11239,12209,921,49,1180,.996
965,col,9438.0,265,854,136,255,58,13,39,124,63,198,10,10,.299,.345,.534,.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,LF,194,1669,353,360,3,4,0,.989
966,col,8949.0,526,1751,212,498,71,17,15,157,116,325,52,22,.284,.329,.370,.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,1B,460,4062,873,2308,1411,24,322,.990
967,col,8294.0,663,2169,223,539,110,16,62,257,158,561,13,16,.249,.301,.400,.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,C,584,5239,4249,4637,347,41,47,.991
968,col,7850.0,1089,4060,691,1204,232,24,193,674,449,755,56,31,.297,.369,.508,.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072,SS,1059,9224,1717,5119,3328,74,758,.986
969,col,9105.0,401,1534,204,431,106,10,70,243,82,240,6,6,.281,.318,.500,.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398,3B,395,3439,265,1282,974,43,100,.966
970,col,8957.0,462,1664,234,480,84,14,45,169,91,282,84,26,.288,.336,.437,.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468,LF,386,3472,853,888,21,14,6,.984
971,col,9770.0,147,388,50,110,23,4,15,59,25,111,1,2,.284,.329,.479,.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,1B,92,837,794,853,56,3,70,.996
972,col,7934.0,914,3371,570,978,191,34,176,554,291,827,112,26,.290,.347,.524,.870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942,CF,844,7349,1578,1659,60,21,6,.987
973,col,8854.0,447,1512,204,413,83,3,71,241,73,354,11,7,.273,.306,.473,.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388,C,366,3190,2474,2751,237,40,62,.985
974,col,9812.0,91,194,19,56,14,2,0,22,7,37,1,0,.289,.313,.381,.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,2B,33,327,45,126,79,2,11,.984
975,col,7066.0,1562,6568,1030,1904,337,117,118,621,494,747,479,117,.290,.339,.431,.770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552,SS,1542,13598,2070,6471,4222,179,892,.972
976,col,9570.0,11,35,5,9,1,0,3,9,4,10,0,0,.257,.333,.543,.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,C,10,90,82,88,5,1,0,.989
977,col,9263.0,417,1053,121,257,50,7,19,92,62,323,21,18,.244,.293,.359,.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,LF,261,2416,641,667,19,7,8,.990
